"
						 		省份名称
							","
						 		本地网名称
							","
						 		销售点编码
							","
						 		销售点名称
							",
湖南,常德市,4307811003711 ,津市中心营业厅,
湖南,衡阳市,4304811064247 ,耒阳市佳福乐通讯城五一店,
湖南,常德市,4307261003723 ,石门中心营业厅,
广东,湛江市,4408021101683 ,赤坎区南桥营业厅,
广东,东莞市,4419051102499 ,塘厦镇塘厦营业厅,
广东,中山市,4420041081975 ,北部东成营业厅,
广东,广州市,4401121101643 ,黄埔区中山大道中营业厅,
广东,中山市,4420041102515 ,北部东凤营业厅,
广东,广州市,4401111171550 ,白云江高营业厅,
广东,茂名市,4409021102486 ,茂南区光华北营业厅,
广东,佛山市,4406051102679 ,南海区官窑营业厅,
广东,惠州市,4413221102618 ,博罗县湖镇营业厅,
广东,广州市,4401011101637 ,越秀区五羊营业厅,
广东,梅州市,4414221102711 ,大埔县义招路营业厅,
广东,潮州市,4451211102270 ,潮安县古巷营业厅,
广东,深圳市,4403041006982 ,喜路通讯,
广东,佛山市,4406061102286 ,顺德区容桂营业厅,
广东,汕尾市,4415811102782 ,陆丰市东海营业厅,
广西,贵港市,4508011000017 ,贵港中山北路营业厅,
广西,百色市,4510271000032 ,凌云西苑小区电信营业厅,
广西,防城港市,4506811000072 ,东兴市民族路营业厅,
海南,海南省,4601011011923 ,海口新华北营业厅,
重庆,重庆市,5001051113769 ,江北塔坪营业厅,
重庆,重庆市,5001161111733 ,江津利群大西门天翼专营店,
重庆,重庆市,5001131601912 ,重庆巴南烽火龙洲湾专营店,
四川,广元市,5108111137372 ,元坝营业主厅,
四川,乐山市,5111011124071 ,乐山城区玉堂街营业厅（自营）,
四川,凉山彝族自治州,5134321140141 ,喜德县商业街自营标杆营业厅,
四川,成都市,5101011167138 ,成华区水碾河路西服务站-华晟,
四川,成都市,5101011138517 ,成都市青龙场标杆营业厅,
四川,自贡市,5103011142269 ,大安区自营厅美讯达标杆营业厅,
四川,眉山市,5114221127664 ,彭山电信北街营业厅,
四川,凉山彝族自治州,5134251137457 ,会理县邮政街44号标杆厅,
四川,凉山彝族自治州,5134361137444 ,美姑县美中路自营标杆营业厅,
四川,德阳市,5106811119985 ,广汉电信中国电信天翼手机卖场,
四川,泸州市,5105001128702 ,泸州电信纳溪阳光商城标杆厅,
四川,宜宾市,5115211159418 ,宜宾观音三溪口底楼标杆厅黄中权,
四川,甘孜藏族自治州,5133261116904 ,道孚县解放西街中心营业厅,
四川,乐山市,5111131127121 ,金口河和平街标杆厅（自营）,
四川,绵阳市,5107811143150 ,马路湾营业厅（江油公司）,
四川,泸州市,5105221110418 ,泸州电信合江复兴路标杆厅,
四川,成都市,5101011116360 ,武侯西簇桥龙井中街专营店-锦欣,
贵州,遵义市,5203291001011 ,余庆分公司-余庆营业厅,
贵州,贵阳市,5201031000080 ,云岩分公司-贵开路营业厅天翼手机卖场,
贵州,遵义市,5203821000990 ,陈安强仁怀茅台镇代理店,
贵州,黔东南苗族侗族自治州,5226281000310 ,锦屏分公司-三江路营业厅天翼手机卖场,
贵州,遵义市,5203221000132 ,桐梓分公司-西门营业厅,
云南,迪庆藏族自治州,5334001219749 ,香格里拉市星耀通讯,
云南,楚雄彝族自治州,5323221132956 ,双柏县振兴路中心营业厅,
云南,昆明市,5301031040146 ,专营加盟豪之阳兴苑路卖场,
云南,昭通市,5306021105066 ,昭阳区祥翼商贸有限公司混营店,
云南,保山市,5305021103052 ,保山市隆阳区下巷街营业厅,
云南,西双版纳傣族自治州,5328011066495 ,度假区营业厅,
云南,玉溪市,5304281136876 ,中国电信澧江路天翼手机旗舰店,
西藏,日喀则地区,5423281000058 ,中国电信谢通门县天翼手机卖场,
西藏,山南地区,5422311000298 ,隆孜县日当镇合作营业厅,
西藏,阿里地区,5425251008672 ,阿里革吉县天翼手机卖场,
西藏,林芝地区,5426001000340 ,林芝市主营业厅,
西藏,拉萨市,5401001000001 ,东区综合天翼手机卖场,
陕西,西安市,6101251018917 ,中电信户县大王营业厅,
陕西,宝鸡市,6103011084649 ,宝鸡世纪隆泰信生专营店,
